"_type","budget_dinner","budget_lunch","genre","name","reviewCount","score","score_dinner","score_lunch"
"dict","￥2,000～￥2,999"," ～￥999","中華料理","
                中華街大飯店
              ","27","3.18","3.18","3.04"
"dict","￥3,000～￥3,999"," ～￥999","焼肉、鉄板焼き","
                元町de焼肉DOURAKU
              ","null","-","-","-"
"dict"," ～￥999"," ～￥999","カフェ、パンケーキ、フレンチトースト","
                CHILLULU COFFEE
              ","20","3.23","-","3.23"
"dict","￥2,000～￥2,999"," ～￥999","中華料理、広東料理、バイキング","
                老北京
              ","23","3.00","3.00","3.07"
"dict","￥1,000～￥1,999"," ～￥999","中華料理、四川料理、飲茶・点心","
                謝朋酒樓
              ","100","3.52","3.45","3.52"
"dict","￥2,000～￥2,999","￥2,000～￥2,999","広東料理、飲茶・点心、中華料理","
                招福門
              ","270","3.58","3.53","3.56"
"dict","￥2,000～￥2,999"," ～￥999","中華料理、ラーメン、飲茶・点心","
                興口福
              ","37","3.00","3.09","3.00"
"dict","￥10,000～￥14,999","null","フレンチ、ワインバー、ビストロ","
                デュ・ヴァン・ハッシシ
              ","38","4.00","4.00","3.06"
"dict","￥3,000～￥3,999","￥1,000～￥1,999","餃子、飲茶・点心、中華料理","
                大連餃子基地ダリアン 中華街店
              ","142","3.51","3.39","3.38"
"dict","￥10,000～￥14,999","￥10,000～￥14,999","割烹・小料理","
                元町 梅林
              ","52","3.06","3.08","3.00"
"dict","￥1,000～￥1,999"," ～￥999","中華料理","
                東北人家 新館
              ","18","3.16","3.08","3.24"
"dict","￥5,000～￥5,999"," ～￥999","広東料理","
                中華街　桂宮
              ","27","3.20","3.09","3.24"
"dict","￥3,000～￥3,999"," ～￥999","中華料理、上海料理、広東料理","
                華錦飯店
              ","54","3.54","3.51","3.52"
"dict","￥3,000～￥3,999"," ～￥999","中華料理、餃子、広東料理","
                慶福楼 市場通り店
              ","39","3.00","3.07","3.00"
"dict","￥2,000～￥2,999","￥1,000～￥1,999","イタリアン、パスタ、ピザ","
                カフェ ラ・ボエム 元町中華街
              ","37","3.05","3.07","3.00"
"dict","￥2,000～￥2,999","￥1,000～￥1,999","中華料理、飲茶・点心、焼きそば","
                梅蘭酒家
              ","151","3.49","3.15","3.40"
"dict","￥3,000～￥3,999"," ～￥999","飲茶・点心、中華料理、肉まん・中華まん","
                鵬天閣 新館
              ","176","3.56","3.51","3.54"
"dict","￥2,000～￥2,999","￥1,000～￥1,999","中華料理、飲茶・点心、バイキング","
                皇朝
              ","142","3.32","3.28","3.09"
"dict","￥1,000～￥1,999"," ～￥999","中華料理、台湾料理、居酒屋","
                好記園
              ","16","3.07","3.04","3.07"
"dict","￥2,000～￥2,999","￥1,000～￥1,999","天ぷら","
                天咲 元町店
              ","21","3.25","3.08","3.53"
"dict","￥3,000～￥3,999","￥1,000～￥1,999","寿司、魚介料理・海鮮料理、海鮮丼","
                すしざんまい 横浜中華街東門店
              ","63","3.08","3.08","3.08"
"dict","￥4,000～￥4,999","null","焼鳥、日本酒バー、居酒屋","
                纏
              ","3","3.07","3.07","3.02"
"dict","￥3,000～￥3,999","￥2,000～￥2,999","中華料理、飲茶・点心、焼きそば","
                梅蘭 市場通り店
              ","118","3.07","3.00","3.10"
"dict","￥5,000～￥5,999","null","焼肉","
                肉山 横浜
              ","25","3.58","3.58","3.15"
"dict","￥4,000～￥4,999"," ～￥999","広東料理、飲茶・点心、中華料理","
                獅門酒楼
              ","166","3.59","3.58","3.59"
"dict","￥2,000～￥2,999","null","バー、ワインバー、ダイニングバー","
                ミズマチバー
              ","45","3.07","3.07","3.03"
"dict","￥4,000～￥4,999","￥1,000～￥1,999","イタリアン","
                テラッツオ
              ","24","3.07","3.04","3.09"
"dict","￥1,000～￥1,999","￥1,000～￥1,999","カフェ、クレープ、スイーツ（その他）","
                Teafanny
              ","4","3.02","-","3.02"
"dict","￥2,000～￥2,999","￥2,000～￥2,999","中華料理、飲茶・点心、バイキング","
                鵬天閣
              ","84","3.45","3.08","3.44"
"dict","￥6,000～￥7,999","￥2,000～￥2,999","中華料理、ワインバー、ダイニングバー","
                ドゥ エピセ
              ","98","3.58","3.54","3.56"
"dict","￥3,000～￥3,999","￥1,000～￥1,999","インドネシア料理、ダイニングバー、居酒屋","
                プリバディ
              ","6","3.19","3.15","3.09"
"dict","￥3,000～￥3,999","null","スペイン料理、バル・バール、ワインバー","
                チャボーラ
              ","43","3.50","3.50","3.21"
"dict","￥3,000～￥3,999","￥2,000～￥2,999","中華料理、上海料理","
                横浜中華街 梅蘭 金閣
              ","94","3.48","3.41","3.23"
"dict","￥20,000～￥29,999","￥6,000～￥7,999","イタリアン、パスタ","
                SALONE 2007
              ","453","4.38","4.40","4.10"
